	M	T	W	R	F	Hourly total	Hourly Target
08:30	1.0	3.0	1.0	4.0	1.0	10.0    	11      
09:30	2.0	2.0	2.0	3.0	1.0	10.0    	11      
10:30	1.0	3.0	1.0	4.0	1.0	10.0    	11      
11:30	1.0	3.0	1.0	5.0	1.0	11.0    	11      
12:30	1.0	1.0	1.0	4.0	0.0	7.0     	11      
13:30	1.0	3.0	1.0	5.0	0.0	10.0    	11      
14:30	2.0	3.0	2.0	3.0	1.0	11.0    	11      
15:30	2.0	2.0	2.0	2.0	1.0	9.0     	11      
16:30	1.0	2.0	0.0	2.0	1.0	6.0     	11      
17:30	0.5	0.5	0.0	0.5	0.5	2.0     	11      
