	M	T	W	R	F	Hourly total	Hourly Target
08:30	2.0	1.0	2.0	2.0	2.0	9.0     	9       
09:30	0.0	3.5	0.0	5.5	0.0	9.0     	9       
10:30	2.0	2.0	2.0	2.0	1.0	9.0     	9       
11:30	1.0	3.0	1.0	4.0	0.0	9.0     	9       
12:30	0.5	3.0	0.5	4.0	0.0	8.0     	9       
13:30	1.0	3.0	1.0	4.0	0.0	9.0     	9       
14:30	0.5	1.5	0.5	1.5	0.0	4.0     	9       
15:30	0.0	4.0	0.0	3.0	2.0	9.0     	9       
16:30	0.0	2.5	0.0	2.5	2.0	7.0     	9       
17:30	0.0	0.5	0.0	0.5	1.0	2.0     	9       
